DATE,TIME,MODEL_CODE,S/N,TOLERANCE,VOLTAGE_MIDDLE,WATTAGE_MIDDLE,AMPERAGE_MIDDLE,CLOSED_PRESSURE
2025/09/24,21:01:48,60CAT0212P,250900195,5,10.703857500000002 > 9.96 < 9.6844425,24.560865000000003 > 22.92 < 22.221735,3.2653120500000004 > 3.0696 < 2.95432995,31.651199999999996 > 30.3 < 28.636799999999994
2025/09/25,15:40:27,60CAT0212P,250900196,5,10.703857500000002 > 10.19 < 9.6844425,24.560865000000003 > 23.92 < 22.221735,3.2653120500000004 > 3.2059 < 2.95432995,31.651199999999996 > 30.6 < 28.636799999999994
2024/12/20,12:19:33,60CAT0213P,241200489,5,11.411925 > 10.8 < 10.325074999999998,26.070975 > 25.3 < 23.588025,3.4529250000000005 > 3.31 < 3.1240750000000004,33.529125 > 31.1 < 30.335874999999998
2025/09/25,16:14:30,60CAT0212P,250900201,5,10.703857500000002 > 10.25 < 9.6844425,24.560865000000003 > 23.83 < 22.221735,3.2653120500000004 > 3.1432 < 2.95432995,31.651199999999996 > 30.9 < 28.636799999999994
2025/09/25,16:18:14,60CAT0212P,250900202,5,10.703857500000002 > 10.26 < 9.6844425,24.560865000000003 > 23.47 < 22.221735,3.2653120500000004 > 3.1784 < 2.95432995,31.651199999999996 > 29.8 < 28.636799999999994
2025/09/25,16:23:32,60CAT0212P,250900203,5,10.703857500000002 > 10.18 < 9.6844425,24.560865000000003 > 23.19 < 22.221735,3.2653120500000004 > 3.1733 < 2.95432995,31.651199999999996 > 29.6 < 28.636799999999994
2025/09/25,16:29:19,60CAT0212P,250900204,5,10.703857500000002 > 10.17 < 9.6844425,24.560865000000003 > 23.04 < 22.221735,3.2653120500000004 > 3.1497 < 2.95432995,31.651199999999996 > 29.8 < 28.636799999999994
2025/09/25,16:29:19,60CAT0212P,250900204,5,10.703857500000002 > 10.17 < 9.6844425,24.560865000000003 > 23.04 < 22.221735,3.2653120500000004 > 3.1497 < 2.95432995,31.651199999999996 > 29.8 < 28.636799999999994
2025/09/25,16:32:45,60CAT0212P,250900205,5,10.703857500000002 > 10.23 < 9.6844425,24.560865000000003 > 23.11 < 22.221735,3.2653120500000004 > 3.1419 < 2.95432995,31.651199999999996 > 30.2 < 28.636799999999994
2025/09/25,16:35:30,60CAT0212P,250900206,5,10.703857500000002 > 10.46 < 9.6844425,24.560865000000003 > 23.81 < 22.221735,3.2653120500000004 > 3.1515 < 2.95432995,31.651199999999996 > 29.8 < 28.636799999999994
2025/09/25,16:35:30,60CAT0212P,250900206,5,10.703857500000002 > 10.46 < 9.6844425,24.560865000000003 > 23.81 < 22.221735,3.2653120500000004 > 3.1515 < 2.95432995,31.651199999999996 > 29.8 < 28.636799999999994
2025/09/25,16:39:29,60CAT0212P,250900207,5,10.703857500000002 > 10.42 < 9.6844425,24.560865000000003 > 23.7 < 22.221735,3.2653120500000004 > 3.2236 < 2.95432995,31.651199999999996 > 30.8 < 28.636799999999994
2025/09/25,16:42:58,60CAT0212P,250900208,5,10.703857500000002 > 10.23 < 9.6844425,24.560865000000003 > 23.3 < 22.221735,3.2653120500000004 > 3.1639 < 2.95432995,31.651199999999996 > 29.9 < 28.636799999999994
2025/09/25,16:42:58,60CAT0212P,250900208,5,10.703857500000002 > 10.23 < 9.6844425,24.560865000000003 > 23.3 < 22.221735,3.2653120500000004 > 3.1639 < 2.95432995,31.651199999999996 > 29.9 < 28.636799999999994
2025/09/25,16:46:49,60CAT0212P,250900209,5,10.703857500000002 > 10.27 < 9.6844425,24.560865000000003 > 23.45 < 22.221735,3.2653120500000004 > 3.1354 < 2.95432995,31.651199999999996 > 30.5 < 28.636799999999994
2025/09/25,16:49:52,60CAT0212P,250900210,5,10.703857500000002 > 10.3 < 9.6844425,24.560865000000003 > 23.83 < 22.221735,3.2653120500000004 > 3.1646 < 2.95432995,31.651199999999996 > 30.1 < 28.636799999999994
2025/09/25,16:54:23,60CAT0212P,250900211,5,10.703857500000002 > 10.4 < 9.6844425,24.560865000000003 > 23.63 < 22.221735,3.2653120500000004 > 3.2054 < 2.95432995,31.651199999999996 > 30.2 < 28.636799999999994
2025/09/25,16:54:23,60CAT0212P,250900211,5,10.703857500000002 > 10.4 < 9.6844425,24.560865000000003 > 23.63 < 22.221735,3.2653120500000004 > 3.2054 < 2.95432995,31.651199999999996 > 30.2 < 28.636799999999994
2025/09/25,16:57:34,60CAT0212P,250900212,5,10.703857500000002 > 10.25 < 9.6844425,24.560865000000003 > 23.4 < 22.221735,3.2653120500000004 > 3.1707 < 2.95432995,31.651199999999996 > 29.9 < 28.636799999999994
2025/09/25,16:57:34,60CAT0212P,250900212,5,10.703857500000002 > 10.25 < 9.6844425,24.560865000000003 > 23.4 < 22.221735,3.2653120500000004 > 3.1707 < 2.95432995,31.651199999999996 > 29.9 < 28.636799999999994
2025/09/25,16:59:45,60CAT0212P,250900213,5,10.703857500000002 > 10.44 < 9.6844425,24.560865000000003 > 23.75 < 22.221735,3.2653120500000004 > 3.1865 < 2.95432995,31.651199999999996 > 29.7 < 28.636799999999994
2025/09/25,16:59:45,60CAT0212P,250900213,5,10.703857500000002 > 10.44 < 9.6844425,24.560865000000003 > 23.75 < 22.221735,3.2653120500000004 > 3.1865 < 2.95432995,31.651199999999996 > 29.7 < 28.636799999999994
2025/09/25,17:02:47,60CAT0212P,250900214,5,10.703857500000002 > 10.22 < 9.6844425,24.560865000000003 > 23.54 < 22.221735,3.2653120500000004 > 3.1816 < 2.95432995,31.651199999999996 > 30.0 < 28.636799999999994
2025/09/25,17:02:47,60CAT0212P,250900214,5,10.703857500000002 > 10.22 < 9.6844425,24.560865000000003 > 23.54 < 22.221735,3.2653120500000004 > 3.1816 < 2.95432995,31.651199999999996 > 30.0 < 28.636799999999994
2025/09/25,17:02:47,60CAT0212P,250900214,5,10.703857500000002 > 10.22 < 9.6844425,24.560865000000003 > 23.54 < 22.221735,3.2653120500000004 > 3.1816 < 2.95432995,31.651199999999996 > 30.0 < 28.636799999999994
2025/09/25,17:06:07,60CAT0212P,250900215,5,10.703857500000002 > 10.3 < 9.6844425,24.560865000000003 > 23.72 < 22.221735,3.2653120500000004 > 3.2222 < 2.95432995,31.651199999999996 > 30.1 < 28.636799999999994
2025/09/25,17:06:07,60CAT0212P,250900215,5,10.703857500000002 > 10.3 < 9.6844425,24.560865000000003 > 23.72 < 22.221735,3.2653120500000004 > 3.2222 < 2.95432995,31.651199999999996 > 30.1 < 28.636799999999994
2025/09/25,17:06:07,60CAT0212P,250900215,5,10.703857500000002 > 10.3 < 9.6844425,24.560865000000003 > 23.72 < 22.221735,3.2653120500000004 > 3.2222 < 2.95432995,31.651199999999996 > 30.1 < 28.636799999999994
2025/09/25,17:10:38,60CAT0212P,250900216,5,10.703857500000002 > 10.06 < 9.6844425,24.560865000000003 > 23.48 < 22.221735,3.2653120500000004 > 3.1642 < 2.95432995,31.651199999999996 > 29.7 < 28.636799999999994
2025/09/25,17:10:38,60CAT0212P,250900216,5,10.703857500000002 > 10.06 < 9.6844425,24.560865000000003 > 23.48 < 22.221735,3.2653120500000004 > 3.1642 < 2.95432995,31.651199999999996 > 29.7 < 28.636799999999994
2025/09/25,17:10:38,60CAT0212P,250900216,5,10.703857500000002 > 10.06 < 9.6844425,24.560865000000003 > 23.48 < 22.221735,3.2653120500000004 > 3.1642 < 2.95432995,31.651199999999996 > 29.7 < 28.636799999999994
2025/09/25,17:13:36,60CAT0212P,250900217,5,10.703857500000002 > 9.93 < 9.6844425,24.560865000000003 > 23.17 < 22.221735,3.2653120500000004 > 3.0584 < 2.95432995,31.651199999999996 > 30.3 < 28.636799999999994
2025/09/25,17:13:36,60CAT0212P,250900217,5,10.703857500000002 > 9.93 < 9.6844425,24.560865000000003 > 23.17 < 22.221735,3.2653120500000004 > 3.0584 < 2.95432995,31.651199999999996 > 30.3 < 28.636799999999994
2025/09/25,17:13:36,60CAT0212P,250900217,5,10.703857500000002 > 9.93 < 9.6844425,24.560865000000003 > 23.17 < 22.221735,3.2653120500000004 > 3.0584 < 2.95432995,31.651199999999996 > 30.3 < 28.636799999999994
2025/09/25,17:18:15,60CAT0212P,250900218,5,10.703857500000002 > 10.3 < 9.6844425,24.560865000000003 > 23.8 < 22.221735,3.2653120500000004 > 3.2144 < 2.95432995,31.651199999999996 > 30.8 < 28.636799999999994
2025/09/25,17:18:15,60CAT0212P,250900218,5,10.703857500000002 > 10.3 < 9.6844425,24.560865000000003 > 23.8 < 22.221735,3.2653120500000004 > 3.2144 < 2.95432995,31.651199999999996 > 30.8 < 28.636799999999994
